Product Name,shipping
GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD Video Card,Free Shipping
MSI Radeon RX 580 DirectX 12 Radeon RX 580 8G V1 Video Card,Free Shipping
EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2281-KR BLACK EDITION GAMING Video Card  Dual HDB Fans & RGB LED,$6.99 Shipping
ZOTAC GAMING GeForce RTX 2060 Twin Fan 6GB GDDR6 192-bit Gaming Graphics Card  Super Compact  IceStorm 2.0  ZT-T20600F-10M,Free Shipping
XFX Radeon RX 580 DirectX 12 RX-580P8DFD6 XXX Edition 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,Free Shipping
MSI GeForce RTX 2080 GAMING X TRIO Video Card,Free Shipping
EVGA GeForce RTX 2080 Ti FTW3 ULTRA GAMING  11G-P4-2487-KR  11GB GDDR6  iCX2 & RGB LED,Free Shipping
SAPPHIRE Radeon RX Vega 64 DirectX 12 21275-03-20G Video Card,Free Shipping
ASUS ROG STRIX GeForce RTX 2080 Overclocked 8G GDDR6 HDMI DP 1.4 USB Type-C (ROG-STRIX-RTX2080-O8G-GAMING),Free Shipping
ASRock Phantom Gaming X Radeon RX 590 DirectX 12 RX590 8G OC Video Card,Free Shipping
GIGABYTE GeForce RTX 2070 GAMING OC 8G Video Card  GV-N2070GAMING OC-8GC,Free Shipping
GIGABYTE GeForce RTX 2070 DirectX 12 GV-N2070WF3-8GC Video Card,Free Shipping
